Episode,Total Reward,Steps,Hits,Sunk Ships,Misses,Hit Rate,Q-Table Size,Consecutive Hits,Max Consecutive Hits Ship 1,Max Consecutive Hits Ship 2,Max Consecutive Hits Ship 3,Max Consecutive Hits Ship 4,Max Consecutive Hits Ship 5,Max Consecutive Hits Ship 6
3079,103.38985611510691,556,24,6,65,0.04316546762589928,76,8,1,2,1,1,2,5
3080,3.229999999998224,1000,24,6,73,0.024,76,4,1,1,1,1,1,5
3081,22.305152471081144,951,24,6,76,0.025236593059936908,76,7,1,1,1,1,1,5
3082,137.10154518950372,343,24,6,65,0.06997084548104957,76,5,1,1,1,1,3,4
3083,75.67025245441647,713,24,6,73,0.033660589060308554,76,9,1,1,3,1,2,6
3084,-73.79000000000217,1245,23,5,76,0.018473895582329317,76,3,1,1,1,1,2,2
3085,103.69903591682302,529,24,6,75,0.045368620037807186,76,6,1,1,2,2,1,3
3086,8.898231827110568,1018,24,6,76,0.023575638506876228,76,7,1,1,1,1,2,7
3087,-11.390000000001848,1038,23,5,76,0.022157996146435453,77,10,2,1,2,3,2,5
3088,108.91281535648875,547,24,6,73,0.043875685557586835,77,9,1,1,3,1,2,5
3089,61.14970168612202,771,24,6,74,0.0311284046692607,77,8,1,1,2,2,1,7
3090,73.99888888888738,720,24,6,70,0.03333333333333333,77,9,1,1,1,3,3,3
3091,17.531234705226264,899,24,6,74,0.026696329254727477,77,2,1,1,1,1,1,2
3092,55.66668611435026,857,24,6,71,0.028004667444574097,77,12,1,1,2,3,2,9
3093,37.54285012284841,814,24,6,74,0.029484029484029485,77,3,1,1,1,1,1,3
3094,35.13682242990464,856,24,6,74,0.028037383177570093,77,5,1,1,1,1,1,3
3095,37.95481056256974,871,24,6,72,0.027554535017221583,77,7,1,1,1,3,1,4
3096,65.73285714285544,700,24,6,67,0.03428571428571429,77,5,1,1,2,1,1,3
3097,-10.509090909092734,1100,24,6,76,0.02181818181818182,77,6,1,1,1,1,1,6
3098,13.815485232065718,948,24,6,75,0.02531645569620253,77,4,1,1,1,1,2,4
3099,11.234166666664834,960,24,6,73,0.025,77,4,1,1,1,1,1,3
3100,104.10115942029122,552,24,6,64,0.043478260869565216,77,8,1,2,1,2,3,4
3101,108.27305019304906,518,24,6,68,0.04633204633204633,77,7,1,1,1,1,1,6
3102,36.265740740739425,864,24,6,71,0.027777777777777776,78,6,1,1,1,1,2,5
3103,87.75129032257914,620,24,6,67,0.03870967741935484,78,7,1,1,1,3,1,4
3104,72.42082956259269,663,24,6,59,0.03619909502262444,78,5,2,1,2,1,1,2
3105,108.45880715705658,503,24,6,70,0.04771371769383698,78,6,1,1,1,1,1,5
3106,35.54121457489726,988,24,6,72,0.024291497975708502,78,14,2,2,2,1,4,9
3107,138.9125252525259,396,24,6,70,0.06060606060606061,78,9,1,1,1,2,2,8
3108,38.13286681715395,886,24,6,74,0.02708803611738149,78,8,1,1,1,2,4,5
3109,61.01531799729192,739,24,6,68,0.03247631935047361,78,6,1,1,1,1,1,7
3110,125.39390243902345,410,24,6,51,0.05853658536585366,78,6,1,1,1,1,4,3
3111,14.538231827109959,1018,24,6,72,0.023575638506876228,78,9,1,1,1,2,3,7
3112,-12.60228070175598,1140,24,6,75,0.021052631578947368,78,8,1,1,1,1,2,8
3113,73.9614427156987,707,24,6,74,0.033946251768033946,78,8,1,2,1,2,2,4
3114,-33.68000000000167,1104,23,5,75,0.020833333333333332,78,7,2,1,2,1,1,6
3115,57.929366106078334,773,24,6,76,0.031047865459249677,78,7,1,1,2,1,1,4
3116,92.91366612111152,611,24,6,71,0.03927986906710311,78,8,1,2,1,1,3,5
3117,132.5141920374719,427,24,6,68,0.05620608899297424,78,9,1,1,1,2,2,7
3118,117.06929824561458,456,24,6,61,0.05263157894736842,78,6,2,1,1,2,1,5
3119,96.00778523489791,596,24,6,72,0.040268456375838924,78,8,2,1,1,1,1,8
3120,-11.460000000001783,1022,23,5,73,0.022504892367906065,78,9,1,1,3,2,3,5
3121,56.959470013945264,717,24,6,74,0.03347280334728033,78,3,1,1,1,1,1,3
3122,98.81182130584057,582,24,6,72,0.041237113402061855,78,8,1,1,1,1,2,7
3123,-21.4933448873502,1154,24,6,74,0.02079722703639515,78,6,1,1,1,1,3,4
3124,69.48290519877523,654,24,6,73,0.03669724770642202,78,3,1,1,1,1,1,3
3125,48.654533001243365,803,24,6,73,0.029887920298879204,78,6,1,1,2,1,1,3
3126,-51.37000000000151,1117,23,5,74,0.020590868397493287,78,2,1,1,1,1,1,2
3127,99.242149362476,549,24,6,70,0.04371584699453552,78,6,1,1,1,1,2,3
3128,69.96432098765284,648,24,6,65,0.037037037037037035,78,3,1,1,1,1,1,4
3129,55.32568521031029,737,24,6,67,0.032564450474898234,78,4,1,1,3,1,1,3
3130,72.90360983102765,651,24,6,71,0.03686635944700461,78,4,1,1,1,1,1,4
3131,31.686822429904694,856,24,6,69,0.028037383177570093,78,4,2,1,1,1,1,3
3132,115.57120724346176,497,24,6,69,0.0482897384305835,78,8,1,1,2,2,1,7
3133,36.23471204188346,955,24,6,73,0.025130890052356022,78,12,1,1,3,1,2,10
3134,12.816609808100827,938,24,6,75,0.0255863539445629,78,3,1,1,1,1,1,3
3135,81.48290519877553,654,24,6,73,0.03669724770642202,78,7,1,1,1,1,2,4
3136,6.81020040079979,998,24,6,75,0.02404809619238477,78,5,1,1,1,2,2,4
3137,39.874843945066814,801,24,6,71,0.0299625468164794,78,3,1,1,1,1,1,3
3138,104.51050541516116,554,24,6,73,0.04332129963898917,78,8,1,1,1,1,1,8
3139,116.5060784313714,510,24,6,75,0.047058823529411764,78,9,1,2,1,1,2,4
3140,-7.601504424780472,1130,24,6,75,0.021238938053097345,78,9,1,1,2,1,1,8
3141,-48.11856677524639,1228,24,6,76,0.019543973941368076,78,2,1,1,1,1,1,2
3142,110.02484288354776,541,24,6,72,0.04436229205175601,78,9,1,1,1,1,4,6
3143,-15.990000000001851,1016,23,5,76,0.022637795275590553,78,7,1,1,2,1,1,6
3144,110.03413276231163,467,24,6,74,0.05139186295503212,78,4,1,1,1,1,1,4
3145,66.75458950201707,743,24,6,74,0.03230148048452221,78,8,1,1,2,1,2,6
3146,35.42904761904584,840,24,6,75,0.02857142857142857,78,4,1,1,2,1,2,3
3147,40.82261261261049,888,24,6,75,0.02702702702702703,78,9,2,1,1,2,2,6
3148,69.10440860214976,744,24,6,69,0.03225806451612903,78,9,1,1,1,1,2,7
3149,67.42771048744304,677,24,6,68,0.03545051698670606,78,4,1,1,1,1,1,4
3150,50.629032258062644,775,24,6,66,0.03096774193548387,78,5,1,1,1,2,1,4
3151,96.37501650164909,606,24,6,65,0.039603960396039604,78,9,1,1,1,3,3,6
3152,86.105038759689,645,24,6,71,0.037209302325581395,78,8,1,1,2,2,1,5
3153,99.91281535648874,547,24,6,73,0.043875685557586835,78,6,1,1,1,1,1,4
3154,-20.570000000002086,1083,23,5,74,0.02123730378578024,78,10,2,2,1,1,1,9
3155,86.51313213702952,613,24,6,71,0.03915171288743882,78,6,1,1,1,1,2,3
3156,76.16367816091801,696,24,6,74,0.034482758620689655,78,8,1,1,1,3,3,3
3157,45.92224938875227,818,24,6,76,0.029339853300733496,78,6,1,1,1,1,2,5
3158,-17.39000000000179,1023,23,5,76,0.022482893450635387,78,7,1,1,1,1,1,7
3159,64.2449527665299,741,24,6,75,0.032388663967611336,78,7,1,1,3,1,1,5
3160,91.37384615384467,650,24,6,74,0.036923076923076927,78,10,1,1,2,1,2,6
3161,-9.680000000001993,1014,23,5,75,0.022682445759368838,78,9,1,1,1,3,3,6
3162,91.47129032257924,620,24,6,75,0.03870967741935484,78,8,1,1,2,1,3,5
3163,15.618225108223303,924,24,6,75,0.025974025974025976,78,3,1,1,2,1,1,2
3164,60.56690355329779,788,24,6,72,0.030456852791878174,78,9,1,1,2,1,4,3
3165,93.18925373134438,670,24,6,72,0.03582089552238806,78,12,1,1,3,1,4,8
3166,118.74064846416613,586,24,6,69,0.040955631399317405,78,15,2,1,2,3,3,10
3167,-4.750000000001629,1033,23,5,72,0.022265246853823813,78,12,1,1,1,2,3,10
3168,127.08505376344183,465,24,6,59,0.05161290322580645,78,10,1,1,1,1,2,6
3169,21.733895216399333,878,24,6,74,0.02733485193621868,78,2,1,1,1,1,1,3
3170,67.36084507042084,710,24,6,74,0.03380281690140845,78,6,1,1,1,1,1,7
3171,60.92690355329786,788,24,6,76,0.030456852791878174,78,9,1,1,1,2,1,9
3172,60.99793103448101,725,24,6,70,0.03310344827586207,78,5,1,1,1,1,1,4
3173,62.48642564802007,733,24,6,71,0.03274215552523874,78,6,1,1,1,1,2,4
3174,62.77661202185652,732,24,6,72,0.03278688524590164,78,6,1,1,1,1,3,3
3175,-10.350000000001973,1016,23,5,72,0.022637795275590553,78,9,1,1,1,3,1,8
3176,108.13366598777894,491,24,6,73,0.048879837067209775,78,5,1,1,2,1,1,4
3177,65.15586956521572,736,24,6,74,0.03260869565217391,78,7,2,1,1,1,1,7
3178,28.54384215991537,963,24,6,72,0.024922118380062305,78,10,1,1,1,2,4,5
3179,36.31961722487855,836,24,6,76,0.028708133971291867,79,4,1,1,1,1,1,5
3180,37.716414435388,859,24,6,76,0.027939464493597205,79,6,1,1,1,3,1,4
3181,81.5967398119108,638,24,6,72,0.03761755485893417,79,6,1,1,2,1,2,5
3182,-16.37000000000119,1047,23,5,74,0.021967526265520534,79,9,1,1,1,1,2,7
3183,100.84120724345966,497,24,6,72,0.0482897384305835,79,3,1,1,1,2,1,2
3184,78.23210039630099,757,24,6,66,0.031704095112285335,79,13,1,1,3,1,4,9
3185,57.3599040767398,834,24,6,72,0.02877697841726619,79,11,1,2,2,2,2,8
3186,21.528225108223285,924,24,6,74,0.025974025974025976,79,5,1,1,1,1,2,5
3187,52.53641443538887,859,24,6,74,0.027939464493597205,79,11,1,1,3,1,2,9
3188,64.07367816091786,696,24,6,73,0.034482758620689655,79,4,1,1,1,1,1,3
3189,5.006432015427281,1037,24,6,75,0.023143683702989394,79,7,1,1,1,1,1,8
3190,52.91454753722584,873,24,6,76,0.027491408934707903,79,12,1,1,1,2,3,10
3191,27.676837606835594,936,24,6,69,0.02564102564102564,79,8,1,1,1,1,2,5
3192,146.1223976608188,342,24,6,63,0.07017543859649122,79,8,1,1,2,1,3,5
3193,-13.3125874125886,1144,24,6,76,0.02097902097902098,79,8,1,1,2,1,2,7
3194,115.7601140684414,526,24,6,69,0.045627376425855515,79,10,1,1,1,1,4,8
3195,69.50477088948608,742,24,6,69,0.03234501347708895,79,9,1,2,1,3,2,4
3196,-24.660000000001965,1103,23,5,73,0.02085222121486854,79,10,2,1,2,1,2,5
3197,148.5866666666663,375,24,6,64,0.064,79,11,1,1,1,3,2,9
3198,68.13037809647824,767,24,6,76,0.03129074315514994,79,10,1,1,2,1,4,4
3199,76.45388489208467,695,24,6,75,0.034532374100719423,79,8,1,1,3,1,1,7
3200,33.15363636363453,880,24,6,72,0.02727272727272727,79,6,1,1,1,1,2,4
3201,32.636044538704716,943,24,6,73,0.02545068928950159,79,10,1,1,1,1,4,8
3202,66.24404825737194,746,24,6,75,0.032171581769437,79,8,1,1,3,2,1,4
3203,36.55389521639981,878,24,6,72,0.02733485193621868,79,7,1,1,2,1,1,7
3204,43.15627906976536,860,24,6,72,0.027906976744186046,79,8,1,1,1,1,3,7
3205,99.87051364366029,623,24,6,75,0.038523274478330656,79,11,1,1,3,3,1,5
3206,-36.79000000000161,1090,23,5,76,0.02110091743119266,79,5,1,1,1,1,1,5
3207,64.86850415512423,722,24,6,73,0.0332409972299169,79,6,1,1,1,1,1,5
3208,64.94642564802054,733,24,6,65,0.03274215552523874,79,7,1,1,1,1,2,7
3209,-21.680000000002043,1074,23,5,75,0.021415270018621976,79,9,1,1,1,1,2,7
3210,132.26937655860308,401,24,6,74,0.059850374064837904,79,7,2,1,2,1,2,4
3211,67.1606469760883,711,24,6,74,0.03375527426160337,79,6,1,1,2,1,2,4
3212,41.68961722487849,836,24,6,69,0.028708133971291867,79,6,1,1,1,1,2,6
3213,-9.240000000001437,1010,23,5,71,0.02277227722772277,79,9,1,1,1,3,1,6
3214,-24.660000000001418,1073,23,5,73,0.021435228331780055,79,8,1,1,1,2,2,4
3215,185.05454545454538,220,24,6,56,0.10909090909090909,79,13,1,1,2,2,4,9
3216,84.43698587127002,637,24,6,68,0.03767660910518053,79,7,1,1,1,1,3,3
3217,41.51904761904619,840,24,6,76,0.02857142857142857,79,6,1,1,1,1,2,3
3218,30.84600928074066,862,24,6,73,0.027842227378190254,79,4,1,1,1,1,1,4
3219,51.44269938650129,815,24,6,64,0.029447852760736196,79,8,1,1,2,1,1,8
3220,69.92037593984804,665,24,6,69,0.03609022556390978,79,4,1,1,1,1,1,3
3221,126.19491803278632,488,24,6,67,0.04918032786885246,79,11,1,1,1,2,3,5
3222,19.120401606424387,996,24,6,74,0.024096385542168676,79,9,1,1,1,3,1,8
3223,41.24904761904641,840,24,6,73,0.02857142857142857,79,6,1,1,1,2,2,4
3224,46.56729613734006,932,24,6,70,0.02575107296137339,79,14,2,1,1,3,3,10
3225,-21.260000000001583,1011,23,5,73,0.02274975272007913,79,5,1,1,1,1,1,6
3226,125.79646365422342,509,24,6,76,0.047151277013752456,79,12,2,1,2,2,3,6
3227,125.24213075060509,413,24,6,56,0.05811138014527845,79,6,1,1,2,1,1,6
3228,-121.93964996982767,1657,24,6,76,0.01448400724200362,79,6,1,1,1,1,1,7
3229,128.02866348448595,419,24,6,67,0.057279236276849645,79,7,1,1,3,1,2,5
3230,24.418108108106296,925,24,6,75,0.025945945945945945,79,6,1,1,1,1,2,6
3231,-47.17000000000115,1231,23,5,74,0.01868399675060926,79,11,2,1,1,1,3,9
3232,103.10342359767779,517,24,6,75,0.04642166344294004,79,5,1,1,1,1,3,3
3233,45.51976047903991,835,24,6,76,0.02874251497005988,79,7,1,1,1,2,2,6
3234,90.93528925619697,605,24,6,69,0.03966942148760331,79,7,1,1,1,1,3,6
3235,14.304058272630837,961,24,6,76,0.02497398543184183,79,5,1,1,1,1,1,6
3236,159.8163003663012,273,24,6,61,0.08791208791208792,79,8,1,1,2,3,1,6
3237,93.21290519877591,654,24,6,70,0.03669724770642202,79,11,2,1,1,2,4,7
3238,-107.88000000000302,1535,23,5,75,0.01498371335504886,79,11,1,1,1,1,3,10
3239,-38.68000000000188,1159,23,5,75,0.01984469370146678,79,9,1,2,1,2,2,7
3240,122.20120724346118,497,24,6,76,0.0482897384305835,79,10,1,1,1,1,3,7
3241,57.534999999998085,800,24,6,65,0.03,79,9,1,1,3,2,1,7
3242,48.94468827929984,802,24,6,74,0.029925187032418952,79,6,1,1,1,1,4,3
3243,15.816609808100546,938,24,6,75,0.0255863539445629,79,4,1,1,1,1,1,3
3244,61.3928021248353,753,24,6,70,0.03187250996015936,79,7,1,1,2,1,1,4
3245,44.195207373272034,868,24,6,68,0.027649769585253458,79,9,2,1,3,2,1,3
3246,53.47853470436824,778,24,6,71,0.030848329048843187,79,6,1,1,1,1,1,5
3247,72.41477088948888,742,24,6,68,0.03234501347708895,79,10,1,1,2,1,3,6
3248,-50.460000000002,1187,23,5,73,0.019376579612468407,79,7,1,1,2,1,2,6
3249,85.07474464579768,607,24,6,75,0.039538714991762765,79,5,1,1,1,1,2,3
3250,19.148695652172123,920,24,6,72,0.02608695652173913,79,4,1,2,1,2,1,2
3251,38.74376237623586,808,24,6,74,0.0297029702970297,79,3,1,1,1,1,1,3
3252,144.18328611898022,353,24,6,66,0.0679886685552408,79,8,1,2,1,1,2,4
3253,-20.89638795986827,1196,24,6,74,0.020066889632107024,79,9,1,1,1,1,2,8
3254,42.31961722487951,836,24,6,76,0.028708133971291867,79,6,1,1,1,1,2,4
3255,86.21174506828368,659,24,6,70,0.036418816388467376,79,9,1,1,1,1,1,10
3256,48.85019230769047,832,24,6,73,0.028846153846153848,79,8,1,1,1,1,1,9
3257,-17.59000000000168,1069,23,5,76,0.021515434985968196,79,10,1,1,3,1,1,6
3258,96.91281535648866,547,24,6,73,0.043875685557586835,79,5,1,1,1,1,1,4
3259,65.25345679012162,810,24,6,73,0.02962962962962963,79,12,1,1,1,3,3,6
3260,-24.57000000000168,1043,23,5,74,0.02205177372962608,79,6,2,1,1,1,1,5
3261,161.7873584905662,265,24,6,65,0.09056603773584905,79,8,1,1,1,1,1,9
3262,101.16152658662145,583,24,6,67,0.0411663807890223,79,9,1,1,1,1,2,7
3263,36.79627906976546,860,24,6,68,0.027906976744186046,79,6,1,1,1,1,1,3
3264,104.0063668430326,567,24,6,63,0.042328042328042326,79,9,1,1,1,1,3,5
3265,90.7189189189176,592,24,6,71,0.04054054054054054,79,6,2,1,1,1,2,3
3266,-67.63999999999965,1287,23,5,71,0.017871017871017872,79,8,1,1,2,1,1,5
3267,8.099304865936466,1007,24,6,76,0.023833167825223437,79,6,1,1,1,1,1,7
3268,140.68027027026966,370,24,6,65,0.06486486486486487,79,8,1,1,3,1,1,4
3269,83.20260162601478,615,24,6,72,0.03902439024390244,79,5,1,1,2,1,2,2
3270,41.164275286758205,959,24,6,70,0.02502606882168926,79,14,2,1,3,1,4,6
3271,-33.480000000001795,1073,23,5,75,0.021435228331780055,79,5,1,1,1,1,3,4
3272,58.947877237849724,782,24,6,74,0.030690537084398978,79,8,1,1,1,2,3,5
3273,36.02947431302085,837,24,6,75,0.02867383512544803,79,4,1,1,1,1,2,3
3274,20.631214574898163,988,24,6,73,0.024291497975708502,79,9,1,1,3,1,3,6
3275,2.4980392156845195,1020,24,6,76,0.023529411764705882,79,5,1,1,1,1,1,6
3276,-24.860000000001772,1059,23,5,73,0.021718602455146365,79,7,2,1,1,1,3,3
3277,103.25452006980746,573,24,6,68,0.041884816753926704,79,9,1,1,1,2,1,8
3278,149.4967359050453,337,24,6,56,0.0712166172106825,79,9,1,1,2,3,1,4
3279,57.19755102040882,784,24,6,59,0.030612244897959183,79,8,1,2,1,1,2,5
3280,102.2239130434776,575,24,6,61,0.04173913043478261,79,9,2,2,1,2,2,5
3281,43.716414435388,859,24,6,76,0.027939464493597205,79,8,1,1,1,1,2,7
3282,-4.7500000000011315,1003,23,5,72,0.022931206380857428,79,10,1,2,1,1,3,6
3283,82.59432098765278,648,24,6,72,0.037037037037037035,79,7,1,1,2,1,2,4
3284,43.04415525113969,876,24,6,73,0.0273972602739726,79,9,1,2,2,1,1,7
3285,93.89452006980733,573,24,6,64,0.041884816753926704,79,6,1,1,1,1,1,7
3286,121.57746887966826,482,24,6,69,0.04979253112033195,79,9,1,1,1,1,1,10
3287,80.50552099533297,643,24,6,71,0.03732503888024884,79,6,1,1,1,2,2,3
3288,-107.33861264579821,1629,24,6,76,0.014732965009208104,79,9,1,1,3,2,2,4
3289,87.73717421125053,729,24,6,76,0.03292181069958848,79,14,1,2,3,1,3,10
3290,78.96297872340547,752,24,6,63,0.031914893617021274,79,13,1,1,2,2,2,10
3291,119.75920318725186,502,24,6,60,0.04780876494023904,79,10,1,2,1,1,2,6
3292,1.4047867298558696,1055,24,6,75,0.022748815165876776,79,7,1,1,3,1,2,3
3293,-5.800793933989507,1121,24,6,75,0.021409455842997322,79,9,1,1,1,1,1,10
3294,99.92361111110992,576,24,6,71,0.041666666666666664,79,8,1,1,3,1,4,4
3295,-90.08000000000209,1341,23,5,75,0.01715137956748695,79,4,1,1,1,1,1,4
3296,41.316822429904505,856,24,6,76,0.028037383177570093,79,7,1,1,1,1,1,8
3297,-4.17000000000199,1001,23,5,74,0.022977022977022976,79,10,1,1,1,3,2,8
3298,73.8643209876528,648,24,6,75,0.037037037037037035,79,4,1,1,1,1,1,3
3299,10.7551474785897,1051,24,6,70,0.022835394862036156,79,10,1,1,2,1,2,9
3300,-16.711582670205107,1131,24,6,76,0.021220159151193633,79,6,1,1,3,2,1,4
3301,24.8720408163246,980,24,6,69,0.024489795918367346,79,10,1,1,1,3,1,9
3302,48.51764705882296,850,24,6,76,0.02823529411764706,79,9,1,1,1,2,2,4
3303,-26.350000000001874,1111,23,5,72,0.020702070207020702,79,10,1,1,1,1,2,10
3304,122.34505376344153,465,24,6,73,0.05161290322580645,79,8,1,1,1,3,1,4
3305,47.271359223298894,824,24,6,71,0.02912621359223301,79,7,1,1,1,2,2,4
3306,168.85900369003775,271,24,6,57,0.08856088560885608,79,11,1,1,2,2,4,4
3307,-25.880000000001935,1080,23,5,75,0.021296296296296296,79,8,1,1,1,1,2,6
3308,-78.28000000000222,1312,23,5,75,0.01753048780487805,79,6,2,1,1,1,1,3
3309,132.34739130434963,460,24,6,73,0.05217391304347826,79,11,1,1,3,1,3,7
3310,3.409999999998327,1000,24,6,75,0.024,79,4,1,1,1,1,1,3
3311,161.8766812227075,229,24,6,52,0.10480349344978165,79,6,1,1,1,1,1,7
3312,-130.39000000000294,1573,23,5,76,0.014621741894469168,79,6,1,1,1,2,2,4
3313,69.15966480446752,716,24,6,74,0.0335195530726257,79,7,1,1,2,1,1,4
3314,39.38004801920574,833,24,6,70,0.028811524609843937,79,5,1,1,2,1,1,4
3315,42.33560693641421,865,24,6,74,0.027745664739884393,79,8,1,1,2,1,2,6
3316,-22.891582670205064,1131,24,6,74,0.021220159151193633,79,4,1,1,2,1,2,3
3317,84.28624999999853,640,24,6,73,0.0375,79,7,1,1,3,3,1,3
3318,77.11513788098524,689,24,6,69,0.03483309143686502,79,8,1,1,1,1,1,9
3319,112.0434862385322,545,24,6,70,0.044036697247706424,79,10,1,1,1,2,3,8
3320,108.86348623853128,545,24,6,68,0.044036697247706424,79,9,1,1,1,1,2,6
3321,63.61774104683073,726,24,6,68,0.03305785123966942,79,6,1,1,1,1,2,5
3322,-20.95000000000195,1024,23,5,72,0.0224609375,79,6,1,1,1,2,1,6
3323,37.88299435028142,885,24,6,69,0.02711864406779661,79,8,1,1,1,1,2,8
3324,104.55778523490179,596,24,6,67,0.040268456375838924,79,11,1,1,1,3,3,8
3325,17.8112145748969,988,24,6,75,0.024291497975708502,79,8,2,1,2,2,1,4
3326,-33.550000000001845,1117,23,5,72,0.020590868397493287,79,8,2,2,2,1,1,6
3327,43.14033694343985,831,24,6,74,0.02888086642599278,79,6,1,1,2,1,2,4
3328,128.66325203252018,492,24,6,70,0.04878048780487805,79,12,2,1,2,2,2,9
3329,-6.159584086801264,1106,24,6,71,0.0216998191681736,79,8,1,1,2,1,1,5
3330,74.40858841010238,673,24,6,70,0.03566121842496285,79,6,1,1,1,1,1,5
3331,20.162669404516492,974,24,6,70,0.024640657084188913,79,8,1,1,1,1,1,9
3332,-46.121752738656134,1278,24,6,76,0.018779342723004695,79,6,1,2,1,1,1,5
3333,50.14106537530068,826,24,6,74,0.029055690072639227,79,8,1,1,2,1,2,5
3334,58.04820330969055,846,24,6,73,0.028368794326241134,79,12,1,1,3,2,1,10
3335,-7.9700000000012405,1020,23,5,74,0.022549019607843137,79,10,1,1,2,1,1,10
3336,138.82529411764833,425,24,6,67,0.05647058823529412,79,11,2,1,3,3,2,4
3337,-0.39467111534987964,1049,24,6,75,0.022878932316491896,79,6,1,1,3,1,2,4
3338,125.56096385542172,415,24,6,64,0.05783132530120482,79,6,1,1,1,2,1,4
3339,106.59518518518493,540,24,6,65,0.044444444444444446,79,8,1,1,1,1,2,4
3340,4.426246390758697,1039,24,6,73,0.023099133782483156,79,7,1,1,3,1,1,4
3341,33.91013215858831,908,24,6,76,0.02643171806167401,79,8,1,1,1,1,2,6
3342,150.99303030303238,330,24,6,57,0.07272727272727272,79,9,1,1,2,3,2,4
3343,116.40699115044447,565,24,6,63,0.04247787610619469,79,13,1,1,3,3,2,8
3344,59.08071895424653,765,24,6,71,0.03137254901960784,79,7,1,1,3,1,2,4
3345,31.752739571587945,887,24,6,72,0.02705749718151071,79,6,1,1,1,1,1,4
3346,-10.201347517732433,1128,24,6,75,0.02127659574468085,79,8,1,2,3,1,2,5
3347,35.15904761904592,840,24,6,72,0.02857142857142857,79,4,1,1,1,1,1,5
3348,68.33556040756753,687,24,6,67,0.034934497816593885,79,5,1,1,1,1,1,3
3349,-12.57000000000204,1013,23,5,74,0.022704837117472853,80,8,1,1,2,2,1,5
3350,123.66584905660285,424,24,6,63,0.05660377358490566,80,6,2,2,1,1,1,5
3351,27.50810810810612,925,24,6,76,0.025945945945945945,80,7,1,1,2,1,3,4
3352,45.29224938875193,818,24,6,69,0.029339853300733496,80,6,1,1,1,1,2,4
3353,85.30408320492907,649,24,6,71,0.03697996918335902,80,8,1,2,1,2,1,5
3354,41.43593220339128,944,24,6,73,0.025423728813559324,80,13,2,2,1,1,3,10
3355,75.57129032257934,620,24,6,65,0.03870967741935484,80,3,1,1,1,2,1,3
3356,38.841482720176266,897,24,6,73,0.026755852842809364,80,9,1,1,2,2,1,7
3357,52.91862396203925,843,24,6,76,0.028469750889679714,80,10,2,1,1,1,2,7
3358,-45.070000000001656,1085,22,4,75,0.020276497695852536,80,7,1,1,1,1,3,5
3359,-2.1912833168820676,1013,24,6,75,0.023692003948667325,80,3,1,1,1,1,1,3
3360,63.89987012986821,770,24,6,69,0.03116883116883117,80,9,1,2,2,1,4,5
3361,18.01449320793956,957,24,6,75,0.025078369905956112,80,6,1,1,1,1,1,5
3362,97.44083969465558,524,24,6,61,0.04580152671755725,80,4,1,1,1,1,2,3
3363,-30.118566775246364,1228,24,6,76,0.019543973941368076,80,8,2,1,1,1,2,5
3364,-10.170000000001755,1001,23,5,74,0.022977022977022976,80,8,1,1,2,1,3,3
3365,92.67286644950997,614,24,6,75,0.03908794788273615,80,8,1,1,2,1,2,7
3366,134.50371364653313,447,24,6,68,0.053691275167785234,81,11,2,1,2,3,1,5
3367,-14.9900000000004,1041,23,5,76,0.022094140249759846,81,9,1,1,1,1,1,10
3368,86.87313213702959,613,24,6,75,0.03915171288743882,81,6,1,1,2,1,1,6
3369,32.34266940451566,974,24,6,72,0.024640657084188913,81,12,1,2,1,2,4,7
3370,78.40025641025511,624,24,6,72,0.038461538461538464,81,4,1,1,1,1,1,5
3371,-47.86000000000178,1189,23,5,73,0.01934398654331371,81,8,1,1,1,1,1,9
3372,84.5724137931021,580,24,6,76,0.041379310344827586,81,3,1,1,1,1,2,2
3373,-29.15000000000182,1050,23,5,72,0.021904761904761906,81,5,1,1,1,1,1,6
3374,75.15966480446754,716,24,6,74,0.0335195530726257,81,9,2,1,3,2,1,6
3375,115.53416206261525,543,24,6,71,0.04419889502762431,81,11,1,1,2,2,3,6
3376,33.61649627262831,939,24,6,75,0.025559105431309903,82,10,2,1,1,2,3,7
3377,14.522669404515513,974,24,6,74,0.024640657084188913,82,6,1,2,1,1,1,4
3378,54.62376564277605,879,24,6,75,0.027303754266211604,82,13,1,2,1,2,4,5
3379,74.66927576601498,718,24,6,73,0.033426183844011144,82,9,2,1,1,1,3,3
3380,57.88834319526653,845,24,6,69,0.028402366863905324,82,12,1,1,2,3,3,6
3381,-31.61000000000213,1250,24,6,75,0.0192,82,9,1,1,1,1,3,6
3382,21.743412616337228,967,24,6,72,0.02481902792140641,82,8,1,1,1,1,3,4
3383,58.477713920815575,783,24,6,71,0.03065134099616858,82,8,2,1,1,1,3,4
3384,99.49391304347975,575,24,6,64,0.04173913043478261,82,8,1,1,1,2,2,6
3385,125.30325203252262,492,24,6,66,0.04878048780487805,82,11,1,1,3,1,2,9
3386,121.31011406844345,526,24,6,64,0.045627376425855515,82,12,2,1,3,1,3,8
3387,42.047508813159396,851,24,6,73,0.0282021151586369,82,7,1,1,1,1,1,6
3388,8.652880658434698,972,24,6,71,0.024691358024691357,82,4,1,1,1,1,2,4
3389,122.16646365422436,509,24,6,69,0.047151277013752456,82,11,1,1,1,1,3,10
3390,-1.557663896585474,1083,24,6,71,0.0221606648199446,82,8,1,2,1,2,1,7
